name,category,views,ingredients,method,garnish,image_url,url
Grasshopper,Contemporary Classics,102.9K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-grasshopper-6695cdb737498.webp,https://iba-world.com/iba-cocktail/grasshopper/
Hanky Panky,The unforgettables,89.0K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-hanky-panky-66949112edbf5.webp,https://iba-world.com/iba-cocktail/hanky-panky/
Hemingway Special,Contemporary Classics,115.1K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-hemingway-special-6695cdb814e5a.webp,https://iba-world.com/iba-cocktail/hemingway-special/
Horse’s Neck,Contemporary Classics,64.8K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-horses-neck-6695cdba5fadc.webp,https://iba-world.com/iba-cocktail/horses-neck/
IBA Tiki,New Era,105.6K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-iba-tiki-6695d3a7e33fd.webp,https://iba-world.com/iba-cocktail/iba-tiki/
Illegal,New Era,74.7K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-illegal-6695d3a7de51f.webp,https://iba-world.com/iba-cocktail/illegal/
Irish Coffee,Contemporary Classics,106.3K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-irish-coffee-copy-6695cdbb430cd.webp,https://iba-world.com/iba-cocktail/irish-coffee/
John Collins,The unforgettables,115.8K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-john-collins-669491130ef87.webp,https://iba-world.com/iba-cocktail/john-collins/
Jungle Bird,New Era,116.4K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-new-era-jungle-bird-6695d3ab45a87.webp,https://iba-world.com/iba-cocktail/jungle-bird/
Kir,Contemporary Classics,70.2K views,,,,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-contemporary-classics-kir-6695cdbdbb2e1.webp,https://iba-world.com/iba-cocktail/kir/
